Project name,Description,Workspaces,Attention required,Is autogenerated,Has JWT credentials,Date modified,Modified by,Date created,Created by,Services,Contains services,Last service activity,Email alerts
Project 20,,1,No,No,No,"Mar 1, 2025 2:10 AM GMT+7",,"Mar 1, 2025 2:10 AM GMT+7",,,,Unknown,Active
Project 19,,1,No,No,No,"Feb 15, 2025 6:49 PM GMT+7",,"Feb 15, 2025 6:49 PM GMT+7",,,,Unknown,Active
Project 18,,1,No,No,No,"Feb 12, 2025 10:53 AM GMT+7",,"Feb 12, 2025 10:53 AM GMT+7",,,,Unknown,Active
Project 17,,1,No,No,No,"Feb 12, 2025 10:53 AM GMT+7",,"Feb 12, 2025 10:53 AM GMT+7",,,,Unknown,Active
Project 16,,1,No,No,No,"Feb 12, 2025 10:50 AM GMT+7",,"Feb 12, 2025 10:50 AM GMT+7",,b0cd5de5-cd49-4230-9032-c17330140897,"Events
",None Recorded,Active
Project 15,,1,No,No,No,"Jan 24, 2025 6:04 AM GMT+7",,"Jan 24, 2025 6:04 AM GMT+7",,,,Unknown,Active
Project 14,,1,No,No,No,"Jan 20, 2025 10:52 AM GMT+7",,"Jan 20, 2025 10:49 AM GMT+7",,Express Add-ons,"Plugins
",Unknown,Active
Project 13,,1,No,No,No,"Jan 20, 2025 10:49 AM GMT+7",,"Jan 20, 2025 10:49 AM GMT+7",,,,Unknown,Active
Project 12,,1,No,No,No,"Jan 20, 2025 10:46 AM GMT+7",,"Jan 4, 2025 11:51 PM GMT+7",,Creative Cloud Assets,"Events
",None Recorded,Active
Project 2,,1,No,No,No,"Jan 4, 2025 11:50 PM GMT+7",,"Oct 10, 2024 10:43 AM GMT+7",,"Photoshop
ZXP","Plugins
",Unknown,Active
Project 11,,1,No,No,No,"Nov 29, 2024 2:03 AM GMT+7",,"Nov 29, 2024 2:03 AM GMT+7",,,,Unknown,Active
Project 10,,1,No,No,No,"Nov 23, 2024 7:20 AM GMT+7",,"Nov 23, 2024 7:20 AM GMT+7",,,,Unknown,Active
Project 9,,1,No,No,No,"Nov 15, 2024 3:31 AM GMT+7",,"Nov 15, 2024 3:31 AM GMT+7",,Express Add-ons,"Plugins
",Unknown,Active
Project 8,,1,No,No,No,"Nov 13, 2024 12:55 AM GMT+7",,"Nov 13, 2024 12:55 AM GMT+7",,,,Unknown,Active
Project 7,,1,No,No,No,"Nov 6, 2024 1:31 AM GMT+7",,"Nov 6, 2024 1:31 AM GMT+7",,,,Unknown,Active
Project 1,,1,No,No,No,"Oct 27, 2024 4:21 PM GMT+7",,"Sep 24, 2024 4:37 PM GMT+7",,Adobe XD,"Plugins
",Unknown,Active
Project 6,,1,No,No,No,"Oct 20, 2024 11:07 PM GMT+7",,"Oct 20, 2024 11:07 PM GMT+7",,,,Unknown,Active
Project 5,,1,No,No,No,"Oct 20, 2024 11:06 PM GMT+7",,"Oct 20, 2024 11:06 PM GMT+7",,,,Unknown,Active
Project 4,,1,No,No,No,"Oct 11, 2024 10:05 PM GMT+7",,"Oct 11, 2024 10:03 PM GMT+7",,"Adobe Express Embed SDK
API Mesh for Adobe Developer App Builder","API
",None Recorded,Active
Project 3,,1,No,No,No,"Oct 10, 2024 6:13 PM GMT+7",,"Oct 10, 2024 6:13 PM GMT+7",,Imaging API Events,"Events
","Oct 14, 2024",Active
